,Energy [MeV],Probability density [#/MeV/nt]
0,0.0,3.53
1,0.0001,3.528
2,0.00011,3.528
3,0.00012,3.528
4,0.00013,3.528
5,0.00014,3.528
6,0.00015,3.527
7,0.00016,3.527
8,0.00018,3.527
9,0.0002,3.526
10,0.00022,3.526
11,0.00024,3.526
12,0.00026,3.525
13,0.00028,3.525
14,0.0003,3.525
15,0.00032,3.524
16,0.00036,3.523
17,0.0004,3.523
18,0.00045,3.522
19,0.0005,3.521
20,0.00055,3.52
21,0.0006,3.519
22,0.00065,3.518
23,0.0007,3.517
24,0.00075,3.516
25,0.0008,3.515
26,0.00085,3.514
27,0.0009,3.513
28,0.001,3.511
29,0.0011,3.51
30,0.0012,3.508
31,0.0013,3.506
32,0.0014,3.504
33,0.0015,3.502
34,0.0016,3.5
35,0.0018,3.496
36,0.002,3.493
37,0.0022,3.489
38,0.0024,3.485
39,0.0026,3.481
40,0.0028,3.478
41,0.003,3.474
42,0.0032,3.47
43,0.0036,3.463
44,0.004,3.455
45,0.0045,3.446
46,0.005,3.437
47,0.0055,3.428
48,0.006,3.418
49,0.0065,3.409
50,0.007,3.4
51,0.0075,3.39
52,0.008,3.381
53,0.0085,3.372
54,0.009,3.363
55,0.01,3.357
56,0.011,3.351
57,0.012,3.346
58,0.013,3.341
59,0.014,3.336
60,0.015,3.331
61,0.016,3.326
62,0.018,3.315
63,0.02,3.305
64,0.022,3.295
65,0.024,3.285
66,0.026,3.274
67,0.028,3.264
68,0.03,3.254
69,0.032,3.244
70,0.036,3.224
71,0.04,3.204
72,0.045,3.179
73,0.05,3.155
74,0.055,3.131
75,0.06,3.107
76,0.065,3.084
77,0.07,3.061
78,0.075,3.038
79,0.08,3.016
80,0.085,2.994
81,0.09,2.972
82,0.1,2.928
83,0.11,2.885
84,0.12,2.842
85,0.13,2.798
86,0.14,2.754
87,0.15,2.71
88,0.16,2.665
89,0.18,2.57
90,0.2,2.469
91,0.22,2.359
92,0.24,2.239
93,0.26,2.108
94,0.28,1.963
95,0.3,1.805
96,0.32,1.633
97,0.36,1.255
98,0.4,0.8502
99,0.45,0.3749
100,0.5,0.07992
101,0.55,0.05857
102,0.6,0.05546
103,0.65,0.05192
104,0.7,0.04789
105,0.75,0.04332
106,0.8,0.03819
107,0.85,0.03253
108,0.9,0.02645
109,1.0,0.01383
110,1.1,0.003294
111,1.17563,0.0
